指標類別,關鍵字,提取值,數據類型,信心分數,來源頁面,來源文本
指標1_再生材料使用比例,再生材料使用比例,30%,percentage,0.95,"第167頁, 第109頁, 第108頁","產品單位用電 / 汽量 ( 主要產品總用
電 / 汽量 ÷主要產品產量 ) 需較前
一年平均值減少 5%
使用再生物料政策 質化敘述
PP 扁紗級回收料膠粒 (RP1040) 添
加 30% 消費後再..."
指標1_再生材料使用比例,再生塑膠佔比,30%,percentage,0.90,"第169頁, 第167頁, 第108頁","創新永續未來的
塑造者1
繁榮經濟的
促進者2
永續環境的
打造者3
幸福職場的
守護者4
共享發展的
創造者5
附錄
169
IV. 上市公司編製與申報永續報告書作
業辦法
 特定產業永續揭露指標 ..."
指標1_再生材料使用比例,rPET含量,未提及,percentage,1.00,"第166頁, 第167頁, 第166頁","(ECH) 97,707 85,822 74,558
正丁醇
(NBA) 198,178 224,295 235,342
高吸水性樹
脂 (SAP) 164,758 191,589 200,711
丙..."
指標1_再生材料使用比例,PCR材料使用,30%,percentage,0.95,"第56頁, 第167頁, 第55頁","台灣塑膠工業股份有限公司
2023 永續報告書
56
消費後回收塑膠 (PCR) 開
發與應用
鹽水電解結合二氧化碳再
利用系統技術開發
抗沾黏腹膜透析矽膠導管
1. 秉持永續承諾與循環經濟理念，積極..."
指標1_再生材料使用比例,導入再生料,30%,percentage,0.95,"第86頁, 第167頁, 第107頁","台灣塑膠工業股份有限公司
2023 永續報告書
86
循環經濟 機會 / 產品與服務 中度機會9.
現況之風險或機會分析 ( 可能對公司之影響 )
因應策略及目標
案 例
考量產品生命週期及價值鏈，2..."
指標1_再生材料使用比例,recycled content ratio%,0.0%,percentage,1.00,"第168頁, 第169頁, 第8頁","台灣塑膠工業股份有限公司
2023 永續報告書
168
主題 指標項目 指標說明 2023 年成果數據 備註說明
水資源 水資源管理或減量目標 質化敘述
產品單位用水量 ( 主要產品總用水量
÷主要產..."
指標1_再生材料使用比例,PCR plastic usage,30%,percentage,0.95,"第56頁, 第167頁, 第3頁","台灣塑膠工業股份有限公司
2023 永續報告書
56
消費後回收塑膠 (PCR) 開
發與應用
鹽水電解結合二氧化碳再
利用系統技術開發
抗沾黏腹膜透析矽膠導管
1. 秉持永續承諾與循環經濟理念，積極..."
指標1_再生材料使用比例,rPET content,30%,percentage,0.90,"第38頁, 第167頁, 第166頁","及切身參與感
預計以麥寮正丁醇廠為示範廠，優先整合跨
製程單元的 AI 模組，預計 2024 年底完成 ，
並上線測試
 ▼ 訓練各事業部 RPA 流程開發技術人員，
具備 RPA 工具運用能力
 ▼..."
指標1_再生材料使用比例,% recycled materials,89.1%,percentage,0.90,"第109頁, 第108頁, 第107頁","創新永續未來的
塑造者1
繁榮經濟的
促進者2
永續環境的
打造者3
幸福職場的
守護者4
共享發展的
創造者5
附錄
109
3.5.3 廢棄物資源化再利用
本公司持續推動將廢棄物再利用，藉由輔導下..."
指標1_再生材料使用比例,recycled plastic usage rate,30%,percentage,0.95,"第167頁, 第168頁, 第169頁","產品單位用電 / 汽量 ( 主要產品總用
電 / 汽量 ÷主要產品產量 ) 需較前
一年平均值減少 5%
使用再生物料政策 質化敘述
PP 扁紗級回收料膠粒 (RP1040) 添
加 30% 消費後再..."
指標1_再生材料使用比例,PCR material use,30%,percentage,0.95,"第56頁, 第167頁, 第55頁","台灣塑膠工業股份有限公司
2023 永續報告書
56
消費後回收塑膠 (PCR) 開
發與應用
鹽水電解結合二氧化碳再
利用系統技術開發
抗沾黏腹膜透析矽膠導管
1. 秉持永續承諾與循環經濟理念，積極..."
指標1_再生材料使用比例,post-consumer plastic share,未提及,percentage,1.00,"第86頁, 第56頁, 第62頁","台灣塑膠工業股份有限公司
2023 永續報告書
86
循環經濟 機會 / 產品與服務 中度機會9.
現況之風險或機會分析 ( 可能對公司之影響 )
因應策略及目標
案 例
考量產品生命週期及價值鏈，2..."
指標1_再生材料使用比例,Recycled Content Claim,未提及,percentage,1.00,"第163頁, 第3頁, 第23頁","指標代號 揭露指標
對照揭露
章節對照
2021 2022 2023
RT-CH-150a.1
有害廢棄物的產生總量 ( 單位：公噸 ) 2,928 3,251 2,988 3.5.2 
廢棄物管理
..."
指標2_碳排放數據比較,再生材料碳排放,減少30％以上,number,0.90,"第86頁, 第84頁, 第83頁","因應策略及目標
案 例
 ▼受歐盟新車排放標準的要求，在 2030 年前新出廠的汽車與廂型車，其二氧化碳平均排放量需較2021 年減少 1/3
 ▼本公司所生產之輕量化 PP 材料，如應用於汽車配件，..."
指標2_碳排放數據比較,碳足跡比較,81,number,0.90,"第93頁, 第66頁, 第83頁","創新永續未來的
塑造者1
繁榮經濟的
促進者2
永續環境的
打造者3
幸福職場的
守護者4
共享發展的
創造者5
附錄
93
台塑公司減碳執行方案
方案 簡介 年度減量成果 未來規劃
再生能源 -
仁..."
指標2_碳排放數據比較,再生料減碳量,"406.75 噸, 4,443 噸, 160.5 噸",number,0.80,"第93頁, 第83頁, 第167頁","創新永續未來的
塑造者1
繁榮經濟的
促進者2
永續環境的
打造者3
幸福職場的
守護者4
共享發展的
創造者5
附錄
93
台塑公司減碳執行方案
方案 簡介 年度減量成果 未來規劃
再生能源 -
仁..."
指標2_碳排放數據比較,歷年GHG排放量,"2020: 3,966,548; 2021: 3,918,988; 2022: 3,338,612; 2023: 3,542,116",number,1.00,"第162頁, 第92頁, 第91頁","台灣塑膠工業股份有限公司
2023 永續報告書
162
II. 永續會計準則委員會 (SASB)對照表
揭露主題 溫室氣體排放  Greenhouse Gas Emissions
指標代號 揭露指標
..."
指標2_碳排放數據比較,減碳數據,"['406.75', '4,443', '100,000', '690.8萬', '800.5萬', '20%', '40%', '2020']",number,0.95,"第93頁, 第66頁, 第66頁","創新永續未來的
塑造者1
繁榮經濟的
促進者2
永續環境的
打造者3
幸福職場的
守護者4
共享發展的
創造者5
附錄
93
台塑公司減碳執行方案
方案 簡介 年度減量成果 未來規劃
再生能源 -
仁..."
指標2_碳排放數據比較,碳排年表,"2020年: 19,968,127噸 CO2e；2021年: 19,049,675噸 CO2e；2022年: 19,242,357噸 CO2e；2023年: 19,850,908噸 CO2e",number,0.95,"第10頁, 第66頁, 第91頁","等六大面向深入查核、發掘作業程序未被鑑別出來的潛在風險
 針對各類作業區域評估增設 CCTV，監視施工動態確保安全
 強化中間幹部十大高風險巡查執行情形
3. 推動無紙化  
2023 年月平均用紙量..."
指標2_碳排放數據比較,GHG減量,"2025年減量20%；2030年減量40%；2050年達到碳中和；2023年減少63.0萬噸，減量7.3%；預估減碳量較2020年基準年減少86.3萬噸；2025年較2020年基準年減少10%非有害廢棄物掩埋量；2023年節能改善案件共完成613件，預估溫室氣體減量98,996噸CO2e/年",number,0.95,"第81頁, 第9頁, 第95頁","創新永續未來的
塑造者1
繁榮經濟的
促進者2
永續環境的
打造者3
幸福職場的
守護者4
共享發展的
創造者5
附錄
81
 氣候變遷風險與機會
氣候變遷議題管理流程
管理策略與行動方案
執行情況
..."
指標2_碳排放數據比較,recycled material carbon footprint,未提及,number,1.00,"第8頁, 第93頁, 第58頁","用
，預計 2024 年取得經濟部 產業發展署個案再利用許可，每月約可
減少 2,000 噸廢棄物，將其改為再利用，以降低對環境之衝擊
5. 推動廢水源頭減量  持續推動廢水源頭減量共 28 案，截至..."
指標2_碳排放數據比較,CO2 savings over years,2025年減量20%，2030年減量40%，2050年達到碳中和,number,0.90,"第66頁, 第10頁, 第83頁","透過內部碳定價機制，具體將碳成本納入各廠損益，
以落實減碳目標
 ▼ 企業內部碳定價為 100 元 / 噸 CO2e
 ▼ 每月檢討各廠溫室氣體排放量及節能
減碳目標達成績效，各廠皆達成目標
重大主題..."
指標2_碳排放數據比較,annual GHG reduction,未提及,number,1.00,"第118頁, 第161頁, 第159頁","短期目標 ( 1-3 年 ) 中長期目標 ( 3 年以上 )
藉由分析高風險作業查核異
常，找到工作安全管理異常熱
點，排除風險並防範工安事故
發生
 ▼ 不定期執行自主巡檢查核，及追蹤異常案件
改善..."
指標2_碳排放數據比較,CO2e savings by PCR,未提及,number,1.00,"第56頁, 第162頁, 第90頁","台灣塑膠工業股份有限公司
2023 永續報告書
56
消費後回收塑膠 (PCR) 開
發與應用
鹽水電解結合二氧化碳再
利用系統技術開發
抗沾黏腹膜透析矽膠導管
1. 秉持永續承諾與循環經濟理念，積極..."
指標2_碳排放數據比較,carbon footprint of recycled materials,"30%, 50%",number,0.90,"第84頁, 第58頁, 第93頁","燃煤朝向低 ( 零 ) 碳能源轉型：推動鍋爐燃料由煤轉氣、汰除老舊燃煤鍋爐、採用低 ( 零 ) 碳來源之電力
請參閱 3.2.3 能源管理 - 台塑能源轉型規劃
客戶要求減碳 轉型風險/ 市場 重大風..."
指標2_碳排放數據比較,GHG reduction by recycled content,未提及,number,1.00,"第23頁, 第161頁, 第27頁","高層主管問卷
13 項
重大主題
議題影響評估與討論
利用 GRI 3 重大性分析精神，衡量
高、中度議題的財務影響及發生可能
性；將重大主題對照GRI 主題準則，
鑑別出 13 項重大主題
持續溝通..."
指標3_資源循環效益比較,原生料與再生料比較,30%,percentage,0.90,"第84頁, 第167頁, 第107頁","燃煤朝向低 ( 零 ) 碳能源轉型：推動鍋爐燃料由煤轉氣、汰除老舊燃煤鍋爐、採用低 ( 零 ) 碳來源之電力
請參閱 3.2.3 能源管理 - 台塑能源轉型規劃
客戶要求減碳 轉型風險/ 市場 重大風..."
